TRACT,lahunv1share,lahunv10share,lasnap1share,lasnap10share
1001020100,0.79,,13.22,
1001020200,9.0,,12.95,
1001020300,0.0,,5.87,
1001020400,0.46,,1.76,
1001020500,1.35,,2.04,
1001020600,5.47,,15.7,
1001020700,1.01,,11.82,
1001020801,6.91,0.0,13.99,0.0
1001020802,4.84,0.06,7.71,0.06
1001020900,3.97,0.14,14.0,0.21
1001021000,0.8,0.68,14.31,11.55
1001021100,20.72,16.05,17.36,13.96
1003010100,5.62,1.82,8.09,3.28
1003010200,8.9,0.15,12.81,0.14
1003010300,5.84,,5.24,
1003010400,1.0,0.15,6.84,0.54
1003010500,2.11,,5.93,
1003010600,3.99,,13.72,
1003010701,1.36,,0.61,
1003010703,0.64,,2.93,
1003010704,1.99,,4.11,
1003010705,1.17,,1.16,
1003010800,1.08,,1.53,
1003010903,5.22,,7.03,
1003010904,1.27,0.0,9.07,0.61
1003010905,4.05,,8.08,
1003010906,1.15,,8.66,
1003011000,7.67,,7.35,
1003011101,1.02,,1.72,
1003011102,1.95,,6.37,
1003011201,0.06,,0.61,
1003011202,0.4,,1.72,
1003011300,4.87,0.0,3.67,0.0
1003011401,0.67,0.0,8.49,0.0
1003011403,0.28,,8.47,
1003011405,0.81,,2.82,
1003011406,1.77,,4.6,
1003011407,2.65,,1.78,
1003011408,1.09,,0.0,
1003011501,2.4,,11.5,
1003011502,2.15,,7.74,
1003011601,3.33,0.01,10.83,0.04
1003011602,4.28,,3.12,
1005950100,11.26,2.79,22.31,4.92
1005950200,8.72,0.38,24.49,0.85
1005950300,8.91,5.37,22.59,11.4
1005950400,15.42,10.01,27.54,18.05
1005950500,1.32,0.19,20.42,1.51
1005950600,0.65,,22.11,
1005950700,2.7,0.17,5.92,0.37
1005950800,0.81,,3.68,
1005950900,0.64,,3.92,
1007010001,13.45,0.03,9.4,0.05
1007010002,3.04,0.0,9.22,0.0
1007010003,2.09,0.01,8.09,0.4
1007010004,2.5,0.0,9.26,0.29
1009050101,2.25,,7.89,
1009050102,2.98,,5.84,
1009050200,1.41,,5.98,
1009050300,6.86,,13.46,
1009050400,5.93,,8.39,
1009050500,3.2,,9.21,
1009050601,2.66,,8.07,
1009050602,1.36,,8.1,
1009050700,5.23,,8.38,
1011952100,10.22,8.87,33.9,29.44
1011952200,10.62,0.01,19.03,0.01
1011952500,4.58,2.58,8.91,5.22
1013952700,4.46,0.0,8.79,0.0
1013952800,,,,
1013952900,7.18,,10.89,
1013953000,1.83,0.61,10.28,3.51
1013953100,3.38,,10.27,
1013953200,4.43,0.85,16.67,2.94
1013953300,5.9,0.13,10.35,0.49
1013953400,1.91,0.0,10.35,0.07
1013953500,4.71,0.49,17.62,1.83
1015000200,0.42,,0.75,
1015000300,0.22,,0.79,
1015000400,10.96,,34.26,
